category_no,category_name,parent_category_no
200304,バイク車体,101114
201136,チョコレート,100283
201129,ブレッチェル,100293
100289,その他,201136
101142,その他,200285
201150,アイスクリーム,100283
101145,カーシャンプー,200289
101146,その他,200289
201153,その他焼き菓子,100283
201154,マドレーヌ,100283
201155,フィナンシェ,100283
201158,スイートポテト,100283
100292,その他,201150
201159,マカロン,100283
201160,ワッフル,100283
200097,ホテル,101382
200094,ハワイ,101394
200095,ビーチリゾート,101394
200055,通学講座・スクール,101445
200191,その他,101311
201210,スコーン,100293
200058,その他,101445
200092,ビーチリゾート,101411
201211,マフィン,100293
201212,ベーグル,100293
201213,みそ,100300
100301,その他,201213
201221,しょうゆ,100300
100302,その他,201221
201227,しお,100300
100303,その他,201227
201233,砂糖,100300
100304,その他,201233
201242,酢,100300
100305,その他,201242
201251,油,100300
100306,その他,201251
201261,ドレッシング,100300
201268,スパイス,100300
100314,その他,201261
100309,その他,201268
201285,焼肉のたれ,100300
201287,めんつゆ,100300
201289,セット・詰め合わせ,100300
100556,その他,201038
200822,家具・ねんね,100804
200432,化石,101222
201337,ブランデー,100329
201351,水・ミネラルウォーター,100316
201351,水・ミネラルウォーター,100316
100334,その他,201337
100370,その他,201351
100370,その他,201351
100246,フルーツ・果物,201476
201388,野菜ジュース,100344
201393,健康飲料,100344
100265,牛乳,201474
201439,ハーブティー,100316
201439,ハーブティー,100316
201402,レギュラーコーヒー,100356
100357,その他,201402
201416,ニルギリ,100351
201419,中国,100351
201420,インドネシア,100351
200531,レコード,101240
200532,LD,101240
201423,玉露,100361
201426,抹茶,100361
200623,スポーツ,101182
200533,邦楽,101311
200534,洋楽,101311
200535,インストゥルメンタル,101311
200623,スポーツ,101327
200624,音楽,101327
200625,カルチャー,101327
200626,アイドル,101327
200627,ビデオCD,101327
200628,ドラマ,101328
200629,SF,101328
200630,アクション,101328
200631,ホラー,101328
101351,その他,200624
101353,その他,200623
200657,ドラマ,101343
200658,アクション,101343
200659,ホラー・SF,101343
200684,オリジナルアニメ,101347
200685,キッズアニメ,101347
200686,特撮,101347
200687,全巻セット,101347
200727,全巻セット,101328
200721,クレジットカード,101439
200723,金・地金,101439
201583,洗濯物入れ,100645
201454,ネイル,100939
201464,ダイエットサプリメント,100984
201464,ダイエットサプリメント,100988
201467,にがり,100987
100988,サプリメント,201468
201476,植物・ハーブ,100984
100988,サプリメント,201474
100988,サプリメント,201476
100989,ビタミンA配合,201485
100990,ビタミンE配合,201485
100991,ビタミンB群,201485
100992,ビタミンC配合,201485
100993,マルチビタミン食品,201485
201493,健康茶,100987
201585,教材,100901
201585,教材,100901
101019,田七人参加工食品,201476
101023,ブルーベリー,201476
101026,モロヘイヤ加工食品,201476
201516,健康酢・酢飲料,100987
202513,観葉植物,100005
101032,その他,201493
101032,その他,201493
202528,植木,100012
202532,園芸薬剤・活性剤,100012
