name,value,mySubCategoryFlg
妊娠纹防护/修复,50102479,0
孕产妇奶粉,50032612,0
孕产妇护肤/洗护,50043340,0
护腰枕/托腹带,50098107,0
产检裤,50074067,0
新生儿服装,50098179,0
新生儿用品,50098112,0
待产包,50038537,0
新生儿玩具,50098057,0
束腹带,50006010,0
妈咪包,50044786,0
产前产后必备用品,50006000,0
防溢乳垫/乳房保养,50067084,0
产妇帽/孕妇鞋/袜,50018341,0
吸奶器/母乳储存保鲜,50098110,0
哺乳枕,50018363,0
月子餐/月子食用油,50102472,0
催发奶产品,50074119,0
月子米酒/月乃汤,50102481,0
骨盆矫正带/塑身衣,50067085,0
疤痕修复/瘦身紧致,50102480,0
美容胶带,50033808,0
新生儿,50097448,1
奶粉/辅食/营养品,35,1
尿片/洗护/喂哺/推车床,50006004,1
纸尿裤/拉拉裤,50002634,0
隔尿床垫,50033681,0
纱布尿布,50008707,0
布尿裤,50008710,0
隔尿垫巾,50008706,0
尿布带,50034742,0
其它,50026032,0
奶瓶,50009522,0
餐椅,50005964,0
餐具/水杯/研磨,50009521,0
毛巾/围嘴/饭兜,50006020,0
奶嘴/安抚奶嘴,50072014,0
奶瓶相关附件,50043358,0
消毒/暖奶/调奶/锅,50031700,0
湿巾/湿巾加热,50072019,0
耳勺/体温计/吸鼻器,50006017,0
理发/梳子/指甲剪,50072015,0
儿童坐便用具,50072016,0
洗发/沐浴/润肤,50004439,0
浴盆/洗发帽/水温计,50042694,0
护臀/痱子粉/防晒,50072011,0
洗衣液/皂/柔顺剂,50005970,0
礼盒套装,50032852,0
凝露/金水,50032848,0
睡袋/被子/抱毯/毛毯,50072009,0
童床/婴儿床/摇篮,50067080,0
枕头/床垫/单/围靠,50000829,0
儿童房/桌椅/家具,50005963,0
婴童床品套件,50023699,0
婴童凉席/蚊帐,50043348,0
婴幼儿推车,50010218,0
背袋/背巾/腰凳,50032624,0
汽车座椅/汽车背带,50035486,0
学步车/学步带,50072010,0
乳牙刷/训练牙刷/牙膏,50005951,0
牙胶/固齿/咬咬袋,50072021,0
防撞/防触电/门卡,50072020,0
提醒/多功能防护,50005952,0
驱蚊虫止痒,50072024,0
感冒/退烧/咳嗽,50072022,0
腹泻/护脐,50072023,0
其它用品,50043274,0
儿童玩具/早教/运动/学习,50005998,1
床铃/摇铃,50074221,0
宝宝手偶/玩偶,50074224,0
不倒翁/手抓球,50074225,0
早教/智能玩具,50008876,0
宝宝布书,50074231,0
数字屋/形状配对,50074237,0
童车/儿童轮滑,211111,0
爬行垫/游戏毯,50074601,0
学爬学步/健身架,50074223,0
户外/娱乐/运动,2512,0
游泳池/泳衣/戏水玩具,50000935,0
串珠/绕珠/蘑菇钉,50074235,0
钓鱼/打地鼠/敲打类,50074240,0
幼儿叠叠乐/布积木,50074249,0
积木类玩具,50074232,0
拼图/拼板,50074234,0
拆装组合类玩具,50074233,0
彩泥/橡皮泥/手工DIY,50074226,0
悠悠球/多米诺骨牌,50074241,0
电动/遥控玩具,50074228,0
惯性/滑行/回力玩具,50440044,0
电子玩具,50074404,0
发光玩具,50074398,0
塑料充气玩具,50548033,0
发条玩具,50444055,0
变形金刚/娃娃,50099858,0
仿真/切切看/过家家玩具,50074242,0
魔方/迷宫/解锁类,50074236,0
儿童棋牌/桌面游戏,50008528,0
儿童乐器/音乐玩具,50074230,0
学习/实验/绘画文具,50074245,0
儿童书包/箱包,1644,0
3-6岁,50077093,0
1-2岁,50077091,0
2-3岁,50077092,0
6岁以上,50077659,0
0-1岁,50077090,0
0-6个月,50096322,0
宝宝定制/纪念品,50000813,0
游乐设备/大型设施,50074248,0
其它,50000802,0
母婴线下服务,50074247,0
家装主材,27,1
阅读台灯（护眼灯、写字灯）,50095091,0
小夜灯,50051912,0
吊灯,50051917,0
各类灯饰,50051911,0
落地灯,50051915,0
装饰台灯,50051918,0
光源,50030130,0
筒灯,50095073,0
射灯,50095074,0
支架灯,50095326,0
吸顶灯,50051916,0
坐便器盖板,50066583,0
坐便器,50067021,0
一体智能坐便器,50067022,0
坐便器配件,50071979,0
蹲便器,50003559,0
小便斗,50003560,0
妇洗器,50003561,0
厨房龙头,50031127,0
淋浴花洒套装,50008932,0
花洒单头/莲蓬头,50093811,0
面盆龙头,50067002,0
浴缸淋浴龙头,50067004,0
洗衣机龙头,50067005,0
拖把池龙头,50067006,0
净身盆龙头,50067007,0
淋浴花洒龙头,50067472,0
淋浴花洒配件,50071982,0
其它卫浴用品,50002408,0
浴缸,50002411,0
